                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1735,                 1.4392,                0.83471,                0.73232,                0.40158,                0.41187,                0.21193,                 1.2069,                0.91086,                0.80324,             0.00040598,             0.00040598,             0.00040598
                      2,                 1.1104,                0.69501,                0.81226,                0.66743,                0.65514,                 0.6656,                0.39857,                 1.1565,                0.97448,                0.79494,             0.00080636,             0.00080636,             0.00080636
                      3,                 1.1401,                0.70497,                0.81526,                0.62985,                0.54224,                0.46919,                0.30039,                 0.9783,                 1.3199,                0.78842,              0.0011902,              0.0011902,              0.0011902
                      4,                 1.0973,                0.64237,                0.81167,                0.75798,                0.61258,                0.66031,                0.43661,                0.91774,                0.61961,                0.78943,              0.0011757,              0.0011757,              0.0011757
                      5,                  1.183,                0.66551,                0.81873,                0.78743,                0.58999,                0.64932,                0.38696,                 0.9404,                0.60529,                0.79193,               0.001151,               0.001151,               0.001151
                      6,                 1.0434,                0.57143,                0.80864,                 0.8496,                 0.6858,                0.72332,                0.45409,                  0.979,                0.54207,                0.78553,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.0493,                0.54189,                0.80807,                0.70642,                0.52385,                0.58668,                0.36946,                0.94113,                 0.5329,                0.78286,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.0098,                0.54153,                0.80279,                0.75835,                0.64204,                0.68766,                0.45934,                0.85487,                0.49832,                0.78227,              0.0010768,              0.0010768,              0.0010768
                      9,                0.99316,                0.51843,                0.80067,                0.91152,                 0.7205,                0.79025,                0.49532,                0.94621,                0.48998,                0.78254,               0.001052,               0.001052,               0.001052
                     10,                  1.046,                0.54768,                 0.8054,                0.90377,                0.63383,                0.72124,                 0.4607,                0.89826,                0.50858,                0.78272,              0.0010273,              0.0010273,              0.0010273
                     11,                0.96713,                0.51723,                0.80211,                0.81161,                 0.7063,                 0.7455,                0.49117,                0.88661,                0.47188,                0.78455,              0.0010025,              0.0010025,              0.0010025
                     12,                0.92149,                0.48348,                0.79968,                0.94001,                0.62732,                0.75276,                0.48501,                 0.8559,                0.46329,                0.78008,             0.00097775,             0.00097775,             0.00097775
                     13,                0.94564,                0.47431,                0.79856,                0.76807,                 0.6802,                0.74615,                0.49786,                0.84768,                0.44652,                0.78209,               0.000953,               0.000953,               0.000953
                     14,                 0.9262,                0.45122,                0.79755,                0.75054,                0.70491,                0.73775,                0.48124,                0.85191,                0.43973,                0.78046,             0.00092825,             0.00092825,             0.00092825
                     15,                0.95111,                0.46621,                0.79677,                0.77371,                0.68551,                0.72993,                0.49016,                0.87482,                0.47261,                0.78356,              0.0009035,              0.0009035,              0.0009035
                     16,                0.91361,                0.44752,                0.79573,                0.90943,                 0.6687,                0.76219,                0.50367,                0.84809,                0.42976,                0.77807,             0.00087875,             0.00087875,             0.00087875
                     17,                  0.885,                0.43746,                0.79022,                0.91926,                0.65126,                0.77337,                0.51868,                0.82539,                0.44353,                0.77785,               0.000854,               0.000854,               0.000854
                     18,                0.89341,                0.43647,                0.79476,                0.85831,                0.71727,                 0.7745,                0.53836,                0.81051,                0.43714,                0.77721,             0.00082925,             0.00082925,             0.00082925
                     19,                 0.8882,                0.43004,                0.79283,                0.92844,                0.69458,                0.76775,                0.51561,                0.80761,                0.41592,                0.77838,              0.0008045,              0.0008045,              0.0008045
                     20,                0.85929,                0.42335,                0.79407,                0.84627,                0.71111,                0.77586,                0.53589,                0.78152,                0.42195,                0.77677,             0.00077975,             0.00077975,             0.00077975
                     21,                0.87301,                 0.4223,                0.78896,                 0.7401,                0.71884,                0.75948,                0.53357,                0.77806,                0.41621,                0.77332,               0.000755,               0.000755,               0.000755
                     22,                0.88823,                0.42039,                0.79212,                0.80403,                0.72511,                0.77871,                 0.5473,                 0.7419,                0.40075,                0.77306,             0.00073025,             0.00073025,             0.00073025
                     23,                0.86533,                0.41164,                0.79152,                0.82539,                0.76659,                0.78809,                0.53758,                0.78835,                0.40443,                0.77537,              0.0007055,              0.0007055,              0.0007055
                     24,                0.84108,                0.40014,                0.79091,                0.81348,                0.70337,                0.76652,                0.52743,                0.84823,                0.42981,                0.77715,             0.00068075,             0.00068075,             0.00068075
